x,y,token
35.081005,1.2381787,the
34.86846,1.0346991,and
35.08319,1.4296063,of
34.872692,0.7082758,to
35.97077,-0.34973603,a
35.091114,1.5062885,in
32.34781,-17.256802,i
35.386925,-1.3942162,that
43.031994,2.519395,he
35.55981,-1.1246182,it
40.99307,2.7413106,his
34.607185,-1.7032187,for
39.877304,3.2982938,was
34.976257,1.362313,with
34.95368,-2.2839596,not
31.05707,-19.02774,is
32.33167,-17.311552,you
36.312664,-1.8750048,be
36.276672,-3.3334277,as
35.08358,-1.7398583,but
34.494267,0.9745526,all
30.209648,-16.433418,they
31.194937,-16.342472,him
-6.1795278,-25.281937,shall
54.164127,-24.881748,her
31.70297,-16.743938,my
39.774673,3.309694,had
30.665998,-16.24621,them
36.533607,-1.9524813,have
40.56403,2.4760334,s
31.50305,-16.540068,me
52.90362,-9.839905,said
33.829678,-3.2477684,at
54.14855,-24.880426,she
35.164597,1.8857987,from
-52.22842,-0.50281346,unto
35.685863,-0.8024126,this
35.11569,-1.0182443,which
35.776806,13.9682665,on
-48.813583,-4.6014576,lord
35.2257,1.6663406,by
13.216989,8.950295,their
36.321407,-3.4116085,so
-6.106196,-25.356327,will
39.192852,3.9747355,were
39.08292,4.054071,are
33.87726,-5.108572,there
34.59891,-4.2671843,when
34.634357,0.5239956,or
32.54398,2.6977081,one
28.614262,-18.394215,no
32.832634,-21.030603,what
39.606853,-18.48996,"."""
52.911552,22.53156,out
40.255756,-2.3296986,man
-53.730236,-12.344457,thy
37.16564,-8.944721,--
-55.81056,-10.721371,thou
-48.798893,-4.607069,god
35.18889,-2.0382707,if
30.075075,-16.604332,we
31.947544,-17.082214,your
35.079327,-4.0011287,then
38.08471,26.093508,up
39.38748,0.8381301,an
-53.8162,-12.228461,thee
38.791718,-25.287657,do
54.114944,-7.402785,","""
34.133507,-4.410894,now
-46.44714,-22.123287,ye
35.826096,14.001166,upon
35.74604,-1.4287077,who
52.913475,22.524162,into
13.992992,5.8802547,more
-7.5216026,-25.922518,would
36.885784,-3.889156,very
35.418335,-16.941708,come
-7.7482233,-25.986036,could
32.086426,26.584484,like
33.249023,-4.120978,before
29.995552,-36.255756,been
28.588905,-18.412977,any
49.85361,26.192604,came
41.414963,-32.51991,day
-47.86433,12.0765915,king
-7.8543835,-26.004593,did
40.045822,-25.15864,know
14.12417,5.851871,than
-32.60276,27.61449,house
51.591133,4.4583764,little
32.488396,-0.092128016,every
-57.68987,1.5971118,1
33.379414,-18.653835,see
5.643307,3.6418586,these
34.949905,-16.763914,go
1.0549928,-27.5118,good
46.237465,24.326504,down
-57.75286,1.9296657,2
-8.424934,-14.899863,us
-19.311144,-15.275622,people
45.178032,-24.392778,am
34.084084,-1.3753676,some
-61.028126,21.708162,son
43.907665,3.9600968,made
4.1010013,3.5409646,men
25.415016,7.2541733,after
32.894592,-21.066603,how
-8.4418125,-14.880501,our
24.466831,-9.0751915,time
45.440933,1.4212941,great
-27.355467,-29.23266,let
-57.85219,2.0180683,3
35.888195,-21.373909,say
-3.4020753,11.464485,d
33.96252,-6.2804575,about
-49.094616,35.855453,israel
9.481823,-23.863142,such
35.847378,14.097424,over
-7.346904,-25.88056,should
-6.331422,-25.480026,may
-36.442,-6.2855964,hath
-58.126163,2.4478564,4
0.7902838,-28.963768,well
33.39339,-5.260729,only
13.769459,-14.811701,even
32.601154,3.1893814,other
47.796234,33.774254,hand
-5.699,26.996887,two
-58.5814,2.9156792,7
-6.357645,-25.567574,must
-58.079906,2.3455827,5
-5.7027965,-25.770737,can
-22.576721,11.922347,against
-58.473198,2.6624477,6
40.969124,-23.752403,"?"""
0.5163596,-32.070965,much
49.847767,26.204391,went
-24.891487,-27.034775,make
-28.920187,18.10752,children
-5.912299,-10.176737,yet
-58.68398,2.9858837,9
-25.367287,-8.18679,own
-58.483925,2.7628295,8
-36.606544,12.476929,also
-58.6512,2.7734997,10
52.4888,24.831661,again
-22.217787,7.31637,father
-58.847763,2.819838,11
42.821896,-0.65731025,old
-39.250217,31.906298,land
-49.140667,1.3311627,o
52.39287,28.787659,away
-58.70438,2.7777243,12
3.6299694,-13.849558,things
-4.5266604,-24.20804,thing
-7.254938,-25.828194,might
24.1818,-10.394822,first
33.206203,-10.571212,way
-58.824734,3.0874085,13
-19.734856,-17.517824,because
-59.003445,2.9676604,14
-7.92551,12.680802,where
-0.079985514,-28.508236,never
-27.422718,-25.981926,give
-59.102657,2.7826355,15
-27.272907,-18.257532,nor
40.02499,-16.429735,here
42.77472,-22.97618,"!"""
28.446186,24.841621,long
-51.174347,18.458426,saying
-27.564873,-25.980394,take
-5.9099135,-10.187514,though
42.83442,2.6177056,himself
-58.785664,2.9493597,16
40.057404,-25.467575,think
-15.422866,5.647494,earth
5.6111703,3.6540294,those
0.8963257,-20.002071,ever
30.700745,-19.009293,has
-6.7815986,-15.080179,being
51.99352,19.078688,saw
-56.689686,1.8662446,therefore
-59.168503,3.0156913,18
-17.869864,-10.637171,heard
57.867203,11.044543,put
2.7052603,4.3289657,many
18.9075,34.966892,through
-8.300969,13.054949,place
-7.76271,-33.27719,without
7.9557066,-12.214577,most
-59.202168,3.2175853,19
-59.23897,3.223712,17
-26.064548,-2.1314747,heart
36.121555,46.676662,head
-51.554684,14.686854,name
36.646168,-3.6643484,too
-59.41642,3.2151184,20
-5.9965224,-36.934452,nothing
-54.355488,1.5588373,behold
-59.40408,3.3570867,21
-27.631876,-13.00537,life
-59.563385,2.9181938,22
